RESUMO,TEXTO,LABEL
0,É falso que seringa de vacina contra Covid-19 aplicada por Alckmin em Lula estava vazia,Aplicaram vacina de vento no braço de Lula. Olha a encenação!,False
0,É falso que seringa de vacina contra Covid-19 aplicada por Alckmin em Lula estava vazia,"O médico e vice-presidente Geraldo Alckmin (PSB) não aplicou “vento” em Lula em vez da vacina bivalente da Pfizer durante o lançamento da campanha nacional de vacinação de 2023, na segunda-feira (27), como alegam posts nas redes sociais. Durante a transmissão oficial do evento feita pela TV Brasil, é possível ver que a seringa utilizada está destampada e que possui líquido em seu interior (veja abaixo).",True
0,É falso que seringa de vacina contra Covid-19 aplicada por Alckmin em Lula estava vazia,"As peças checadas difundem trechos em baixa qualidade da transmissão da TV Brasil, como a retransmissão feita pelo Metrópoles, o que dificulta a visualização do conteúdo da seringa.",True
0,É falso que seringa de vacina contra Covid-19 aplicada por Alckmin em Lula estava vazia,"Tem circulado também a alegação falsa que Alckmin descartou toda a vacina ao pressionar o êmbolo da seringa antes da aplicação, momento em que ocorre um pequeno jato. O imunizante foi aplicado corretamente pelo vice-presidente e não houve desperdício ou dosagem incorreta, explicou a farmacêutica e pesquisadora da USP Laura de Freitas ao Aos Fatos.",True
0,É falso que seringa de vacina contra Covid-19 aplicada por Alckmin em Lula estava vazia,"“[O procedimento] é perfeitamente normal, porque ele estava apenas tirando qualquer ar ou bolha que tivesse sobrado na seringa. Não se pode injetar ar no músculo ou sangue. Está dentro da margem de erro”, diz Freitas.",True
0,É falso que seringa de vacina contra Covid-19 aplicada por Alckmin em Lula estava vazia,"A vacina bivalente da Pfizer utilizada na campanha nacional protege contra a cepa ancestral de Wuhan, além da variante ômicron (BA.1) e suas sublinhagens BA.4 e BA.5. Segundo a bula do imunizante, cada dose contém apenas 0,3 ml — ou seja, o volume aplicado é pequeno.

O cronograma do Programa Nacional de Imunizações deste ano terá cinco fases. Na primeira, serão contempladas, de forma escalonada, pessoas com maior risco de quadros graves da Covid-19, como idosos com mais de 70 anos, gestantes e pacientes imunocomprometidos.",True
0,Posts usam vídeo desacelerado para mentir que Lula discursou bêbado na Bahia,"LULA, bêbado, discursa na Bahia . Até os “cumpanheiros” ficam envergonhados com o estado de embriaguez do Molusco.",False
0,Posts usam vídeo desacelerado para mentir que Lula discursou bêbado na Bahia,"O vídeo de um discurso feito pelo presidente Lula em Santo Amaro (BA), durante o relançamento do programa Minha Casa, Minha Vida, no dia 14 de fevereiro, tem circulado nas redes com a velocidade reduzida para fazer crer que o petista estava bêbado. Na transmissão original, veiculada pela TV Brasil, é possível perceber que Lula fala normalmente.",True
0,Posts usam vídeo desacelerado para mentir que Lula discursou bêbado na Bahia,"Durante o evento, foram entregues 2.745 unidades habitacionais e também anunciadas mudanças no programa do governo federal. Nas áreas urbanas, serão atendidas famílias com renda bruta de até R$ 8.000, descontados benefícios temporários, assistenciais e previdenciários.",True
0,Posts usam vídeo desacelerado para mentir que Lula discursou bêbado na Bahia,"É uma estratégia recorrente de peças de desinformação desacelerar vídeos para fazer crer que o presidente Lula estaria alcoolizado. Aos Fatos já desmentiu, por exemplo, que o petista teria bebido antes de conceder uma entrevista e até ao gravar vídeos publicados nas redes.",True
